provider,service,sku,usage_qty,unit,cost_usd,tags,usage_date
aws,compute,n2-standard-8,1382.4,hours,20423.48,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
aws,compute,c5.large,2956.56,hours,16406.23,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
aws,compute,n2-standard-8,1002.2,hours,29377.51,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
aws,compute,c5.large,3796.45,hours,19089.81,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
aws,compute,Standard_D8s_v5,520.03,hours,23712.28,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
aws,compute,n2-standard-8,2302.53,hours,18358.81,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
aws,compute,n2-standard-8,4428.4,hours,23328.41,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
aws,compute,Standard_D8s_v5,4926.26,hours,33688.67,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-01-01
aws,storage,BlobHot,1055.44,GB,8837.26,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
aws,storage,Standard,1231.61,GB,10534.21,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
aws,storage,gp3,1152.95,GB,6796.24,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
aws,storage,Standard,4383.07,GB,9251.76,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
aws,storage,BlobHot,722.93,GB,7730.64,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
aws,storage,Standard,2003.01,GB,8423.13,"{""app"":""orders"",""bu"":""commerce""}",2025-01-01
aws,storage,Standard,808.31,GB,12430.49,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
aws,storage,BlobHot,2650.28,GB,14955.7,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
aws,storage,BlobHot,3845.31,GB,9473.33,"{""bu"":""marketing"",""env"":""dev""}",2025-01-01
aws,storage,Standard,3812.19,GB,10928.91,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-01-01
