job_id,month,project,business_unit,application,cluster_name,cpu_hours,gpu_hours
202501-job-00000,2025-01-01,Orders,Commerce,Orders,hpc-alpha,78.31,21.02
202501-job-00001,2025-01-01,Orders,Commerce,Orders,hpc-alpha,47.47,37.81
202501-job-00002,2025-01-01,Website,Marketing,Website,hpc-alpha,89.37,2.16
202501-job-00003,2025-01-01,Website,Marketing,Website,hpc-alpha,64.35,22.21
202501-job-00004,2025-01-01,Orders,Commerce,Orders,hpc-alpha,185.36,20.91
202501-job-00005,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,14.75,29.39
202501-job-00006,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,12.66,17.89
202501-job-00007,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,5.08,14.02
202501-job-00008,2025-01-01,Website,Marketing,Website,hpc-alpha,144.85,30.8
202501-job-00009,2025-01-01,Orders,Commerce,Orders,hpc-alpha,128.39,42.44
202501-job-00010,2025-01-01,Website,Marketing,Website,hpc-alpha,54.6,22.99
202501-job-00011,2025-01-01,Website,Marketing,Website,hpc-alpha,172.08,9.02
202501-job-00012,2025-01-01,Orders,Commerce,Orders,hpc-alpha,106.77,33.77
202501-job-00013,2025-01-01,Orders,Commerce,Orders,hpc-alpha,149.05,45.05
202501-job-00014,2025-01-01,Orders,Commerce,Orders,hpc-alpha,43.31,25.61
202501-job-00015,2025-01-01,Orders,Commerce,Orders,hpc-alpha,55.51,22.72
202501-job-00016,2025-01-01,Orders,Commerce,Orders,hpc-alpha,62.26,36.01
202501-job-00017,2025-01-01,Website,Marketing,Website,hpc-alpha,50.07,43.66
202501-job-00018,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,22.49,26.73
202501-job-00019,2025-01-01,Website,Marketing,Website,hpc-alpha,92.25,42.29
202501-job-00020,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,185.71,19.21
202501-job-00021,2025-01-01,Website,Marketing,Website,hpc-alpha,113.06,18.94
202501-job-00022,2025-01-01,Orders,Commerce,Orders,hpc-alpha,56.23,18.45
202501-job-00023,2025-01-01,Orders,Commerce,Orders,hpc-alpha,48.59,38.14
202501-job-00024,2025-01-01,Orders,Commerce,Orders,hpc-alpha,131.77,31.03
202501-job-00025,2025-01-01,Website,Marketing,Website,hpc-alpha,135.46,14.56
202501-job-00026,2025-01-01,Orders,Commerce,Orders,hpc-alpha,186.25,42.42
202501-job-00027,2025-01-01,Website,Marketing,Website,hpc-alpha,128.37,46.08
202501-job-00028,2025-01-01,Orders,Commerce,Orders,hpc-alpha,105.55,11.32
202501-job-00029,2025-01-01,Website,Marketing,Website,hpc-alpha,5.03,41.41
202501-job-00030,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,87.58,9.19
202501-job-00031,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,123.83,4.53
202501-job-00032,2025-01-01,Orders,Commerce,Orders,hpc-alpha,20.74,14.77
202501-job-00033,2025-01-01,Orders,Commerce,Orders,hpc-alpha,120.45,41.46
202501-job-00034,2025-01-01,Orders,Commerce,Orders,hpc-alpha,61.11,20.36
202501-job-00035,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,185.59,8.84
202501-job-00036,2025-01-01,Orders,Commerce,Orders,hpc-alpha,72.48,12.04
202501-job-00037,2025-01-01,Orders,Commerce,Orders,hpc-alpha,180.07,19.12
202501-job-00038,2025-01-01,Orders,Commerce,Orders,hpc-alpha,95.49,49.53
202501-job-00039,2025-01-01,Orders,Commerce,Orders,hpc-alpha,79.85,49.31
202501-job-00040,2025-01-01,Website,Marketing,Website,hpc-alpha,150.55,48.56
202501-job-00041,2025-01-01,Orders,Commerce,Orders,hpc-alpha,167.96,29.32
202501-job-00042,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,9.99,26.58
202501-job-00043,2025-01-01,Website,Marketing,Website,hpc-alpha,2.51,7.56
202501-job-00044,2025-01-01,Website,Marketing,Website,hpc-alpha,19.95,29.25
202501-job-00045,2025-01-01,Orders,Commerce,Orders,hpc-alpha,115.71,32.15
202501-job-00046,2025-01-01,Orders,Commerce,Orders,hpc-alpha,75.36,11.28
202501-job-00047,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,97.96,30.19
202501-job-00048,2025-01-01,Orders,Commerce,Orders,hpc-alpha,12.57,1.08
202501-job-00049,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,116.77,17.08
202501-job-00050,2025-01-01,Orders,Commerce,Orders,hpc-alpha,75.98,9.21
202501-job-00051,2025-01-01,Website,Marketing,Website,hpc-alpha,75.94,35.9
202501-job-00052,2025-01-01,Website,Marketing,Website,hpc-alpha,140.3,3.2
202501-job-00053,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,74.32,48.49
202501-job-00054,2025-01-01,Website,Marketing,Website,hpc-alpha,1.49,22.47
202501-job-00055,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,162.57,7.13
202501-job-00056,2025-01-01,Orders,Commerce,Orders,hpc-alpha,57.85,38.98
202501-job-00057,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,160.96,10.86
202501-job-00058,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,47.63,48.12
202501-job-00059,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,125.88,23.27
202501-job-00060,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,153.91,14.24
202501-job-00061,2025-01-01,Website,Marketing,Website,hpc-alpha,58.64,36.7
202501-job-00062,2025-01-01,Orders,Commerce,Orders,hpc-alpha,89.34,39.12
202501-job-00063,2025-01-01,Orders,Commerce,Orders,hpc-alpha,123.37,47.25
202501-job-00064,2025-01-01,Website,Marketing,Website,hpc-alpha,39.97,30.71
202501-job-00065,2025-01-01,Orders,Commerce,Orders,hpc-alpha,184.08,33.5
202501-job-00066,2025-01-01,Website,Marketing,Website,hpc-alpha,86.15,21.04
202501-job-00067,2025-01-01,Website,Marketing,Website,hpc-alpha,68.66,17.23
202501-job-00068,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,94.72,44.82
202501-job-00069,2025-01-01,Website,Marketing,Website,hpc-alpha,14.31,1.33
202501-job-00070,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,32.86,4.33
202501-job-00071,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,129.95,23.84
202501-job-00072,2025-01-01,Orders,Commerce,Orders,hpc-alpha,81.95,3.71
202501-job-00073,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,125.36,7.79
202501-job-00074,2025-01-01,Orders,Commerce,Orders,hpc-alpha,14.78,5.69
202501-job-00075,2025-01-01,Website,Marketing,Website,hpc-alpha,125.59,33.99
202501-job-00076,2025-01-01,Website,Marketing,Website,hpc-alpha,5.78,31.46
202501-job-00077,2025-01-01,Website,Marketing,Website,hpc-alpha,126.89,10.22
202501-job-00078,2025-01-01,Orders,Commerce,Orders,hpc-alpha,27.96,9.92
202501-job-00079,2025-01-01,Website,Marketing,Website,hpc-alpha,25.5,17.79
202501-job-00080,2025-01-01,Orders,Commerce,Orders,hpc-alpha,15.25,6.9
202501-job-00081,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,103.85,14.22
202501-job-00082,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,74.16,11.03
202501-job-00083,2025-01-01,Website,Marketing,Website,hpc-alpha,17.67,14.3
202501-job-00084,2025-01-01,Orders,Commerce,Orders,hpc-alpha,121.65,9.63
202501-job-00085,2025-01-01,Orders,Commerce,Orders,hpc-alpha,6.75,37.32
202501-job-00086,2025-01-01,Website,Marketing,Website,hpc-alpha,166.21,38.65
202501-job-00087,2025-01-01,Orders,Commerce,Orders,hpc-alpha,114.39,26.89
